0.000000, -0.734093, 1.#INF00
1.000000, -0.673682, 8.366582
2.000000, -0.439210, 0.699747
3.000000, -0.305820, 0.171495
4.000000, -0.230135, 0.072625
5.000000, -0.192546, 0.054382
6.000000, -0.136442, 0.022974
7.000000, -0.135679, 0.021624
8.000000, -0.128800, 0.020289
9.000000, -0.099465, 0.010209
10.000000, -0.095111, 0.008830
11.000000, -0.077968, 0.007868
12.000000, -0.076333, 0.007972
13.000000, -0.071474, 0.005494
14.000000, -0.060700, 0.004595
15.000000, -0.077673, 0.004489
16.000000, -0.037471, 0.003839
17.000000, -0.041729, 0.002178
18.000000, -0.049079, 0.001912
19.000000, -0.076090, 0.002162
20.000000, -0.043065, 0.001603
