0; -1.#IND00; -1.#IND00;1;;0;-1.99016; 1.#INF00;-19.637713;0;0.98188565
7.8;-0.26359;0.035677;0;;;;;;;
7.9;-0.260071;0.034708;0;;;;;;;
8;-0.256647;0.033779;0;;;;;;;
8.1;-0.253314;0.032887;0;;;;;;;
8.2;-0.250069;0.032031;0;;;;;;;
8.3;-0.246907;0.031209;0;;;;;;;
8.4;-0.243826;0.030418;0;;;;;;;
8.5;-0.240822;0.029658;0;;;;;;;
8.6;-0.237894;0.028926;0;;;;;;;
8.7;-0.235036;0.028221;0;;;;;;;
8.8;-0.232248;0.027543;0;;;;;;;
8.9;-0.229527;0.026889;0;;;;;;;
9;-0.22687;0.026258;0;;;;;;;
9.1;-0.224275;0.02565;0;;;;;;;
9.2;-0.221739;0.025062;0;;;;;;;
9.3;-0.219262;0.024496;0;;;;;;;
9.4;-0.216839;0.023948;0;;;;;;;
9.5;-0.214471;0.023419;0;;;;;;;
9.6;-0.212155;0.022907;0;;;;;;;
9.7;-0.209889;0.022413;0;;;;;;;
9.8;-0.207672;0.021934;0;;;;;;;
9.9;-0.205502;0.021471;0;;;;;;;
10;-0.203377;0.021022;0;;;;;;;
10.1;-0.201297;0.020588;0;;;;;;;
10.2;-0.199259;0.020167;0;;;;;;;
10.3;-0.197263;0.019759;0;;;;;;;
10.4;-0.195307;0.019364;0;;;;;;;
10.5;-0.19339;0.01898;0;;;;;;;
10.6;-0.191511;0.018608;0;;;;;;;
10.7;-0.189668;0.018246;0;;;;;;;
10.8;-0.187861;0.017896;0;;;;;;;
10.9;-0.186089;0.017555;0;;;;;;;
11;-0.18435;0.017224;0;;;;;;;
11.1;-0.182643;0.016903;0;;;;;;;
11.2;-0.180969;0.016591;0;;;;;;;
11.3;-0.179325;0.016287;0;;;;;;;
11.4;-0.177711;0.015991;0;;;;;;;
11.5;-0.176126;0.015704;0;;;;;;;
11.6;-0.17457;0.015425;0;;;;;;;
11.7;-0.173041;0.015153;0;;;;;;;
11.8;-0.171539;0.014888;0;;;;;;;
11.9;-0.170064;0.01463;0;;;;;;;
12;-0.168613;0.014379;0;;;;;;;
12.1;-0.167188;0.014134;0;;;;;;;
12.2;-0.165786;0.013895;0;;;;;;;
12.3;-0.164408;0.013663;0;;;;;;;
12.4;-0.163053;0.013436;0;;;;;;;
12.5;-0.161721;0.013215;0;;;;;;;
12.6;-0.16041;0.013;0;;;;;;;
12.7;-0.159121;0.01279;0;;;;;;;
12.8;-0.157852;0.012585;0;;;;;;;
12.9;-0.156604;0.012384;0;;;;;;;
13;-0.155375;0.012189;0;;;;;;;
13.1;-0.154166;0.011998;0;;;;;;;
13.2;-0.152975;0.011812;0;;;;;;;
13.3;-0.151803;0.01163;0;;;;;;;
13.4;-0.150649;0.011452;0;;;;;;;
13.5;-0.149513;0.011279;0;;;;;;;
13.6;-0.148393;0.011109;0;;;;;;;
13.7;-0.147291;0.010943;0;;;;;;;
13.8;-0.146205;0.010781;0;;;;;;;
13.9;-0.145134;0.010622;0;;;;;;;
14;-0.14408;0.010467;0;;;;;;;
14.1;-0.143041;0.010316;0;;;;;;;
14.2;-0.142017;0.010167;0;;;;;;;
14.3;-0.141007;0.010022;0;;;;;;;
14.4;-0.140012;0.00988;0;;;;;;;
14.5;-0.139031;0.009741;0;;;;;;;
14.6;-0.138064;0.009605;0;;;;;;;
14.7;-0.13711;0.009472;0;;;;;;;
14.8;-0.136169;0.009341;0;;;;;;;
14.9;-0.135242;0.009213;0;;;;;;;
15;-0.134327;0.009088;0;;;;;;;
15.1;-0.133424;0.008966;0;;;;;;;
15.2;-0.132533;0.008846;0;;;;;;;
15.3;-0.131655;0.008728;0;;;;;;;
15.4;-0.130788;0.008613;0;;;;;;;
15.5;-0.129932;0.008499;0;;;;;;;
15.6;-0.129088;0.008389;0;;;;;;;
15.7;-0.128254;0.00828;0;;;;;;;
15.8;-0.127432;0.008173;0;;;;;;;
15.9;-0.12662;0.008069;0;;;;;;;
16;-0.125818;0.007966;0;;;;;;;
16.1;-0.125026;0.007866;0;;;;;;;
16.2;-0.124245;0.007767;0;;;;;;;
16.3;-0.123473;0.00767;0;;;;;;;
16.4;-0.122711;0.007575;0;;;;;;;
16.5;-0.121958;0.007482;0;;;;;;;
16.6;-0.121214;0.007391;0;;;;;;;
16.7;-0.120479;0.007301;0;;;;;;;
16.8;-0.119754;0.007213;0;;;;;;;
16.9;-0.119037;0.007126;0;;;;;;;
17;-0.118329;0.007041;0;;;;;;;
17.1;-0.117629;0.006958;0;;;;;;;
17.2;-0.116937;0.006876;0;;;;;;;
17.3;-0.116254;0.006795;0;;;;;;;
17.4;-0.115578;0.006716;0;;;;;;;
17.5;-0.11491;0.006638;0;;;;;;;
17.6;-0.11425;0.006562;0;;;;;;;
17.7;-0.113598;0.006486;0;;;;;;;
17.8;-0.112953;0.006413;0;;;;;;;
17.9;-0.112315;0.00634;0;;;;;;;
18;-0.111685;0.006269;0;;;;;;;
18.1;-0.111062;0.006199;0;;;;;;;
18.2;-0.110445;0.00613;0;;;;;;;
18.3;-0.109836;0.006062;0;;;;;;;
18.4;-0.109233;0.005995;0;;;;;;;
18.5;-0.108637;0.00593;0;;;;;;;
18.6;-0.108047;0.005865;0;;;;;;;
18.7;-0.107464;0.005802;0;;;;;;;
18.8;-0.106886;0.005739;0;;;;;;;
18.9;-0.106316;0.005678;0;;;;;;;
19;-0.105751;0.005617;0;;;;;;;
19.1;-0.105192;0.005558;0;;;;;;;
19.2;-0.104639;0.005499;0;;;;;;;
19.3;-0.104092;0.005442;0;;;;;;;
19.4;-0.103551;0.005385;0;;;;;;;
19.5;-0.103015;0.005329;0;;;;;;;
19.6;-0.102485;0.005274;0;;;;;;;
19.7;-0.10196;0.00522;0;;;;;;;
19.8;-0.101441;0.005167;0;;;;;;;
19.9;-0.100927;0.005114;0;;;;;;;
20;-0.100418;0.005063;0;;;;;;;
