0.000000, -1.#IND00, -1.#IND00, 1.000000
13.800000, -0.146205, 0.010781, 0.000000
13.900000, -0.145134, 0.010622, 0.000000
14.000000, -0.144080, 0.010467, 0.000000
14.100000, -0.143041, 0.010316, 0.000000
14.200000, -0.142017, 0.010167, 0.000000
14.300000, -0.141007, 0.010022, 0.000000
14.400000, -0.140012, 0.009880, 0.000000
14.500000, -0.139031, 0.009741, 0.000000
14.600000, -0.138064, 0.009605, 0.000000
14.700000, -0.137110, 0.009472, 0.000000
14.800000, -0.136169, 0.009341, 0.000000
14.900000, -0.135242, 0.009213, 0.000000
15.000000, -0.134327, 0.009088, 0.000000
15.100000, -0.133424, 0.008966, 0.000000
15.200000, -0.132533, 0.008846, 0.000000
15.300000, -0.131655, 0.008728, 0.000000
15.400000, -0.130788, 0.008613, 0.000000
15.500000, -0.129932, 0.008499, 0.000000
15.600000, -0.129088, 0.008389, 0.000000
15.700000, -0.128254, 0.008280, 0.000000
15.800000, -0.127432, 0.008173, 0.000000
15.900000, -0.126620, 0.008069, 0.000000
16.000000, -0.125818, 0.007966, 0.000000
16.100000, -0.125026, 0.007866, 0.000000
16.200000, -0.124245, 0.007767, 0.000000
16.300000, -0.123473, 0.007670, 0.000000
16.400000, -0.122711, 0.007575, 0.000000
16.500000, -0.121958, 0.007482, 0.000000
16.600000, -0.121214, 0.007391, 0.000000
16.700000, -0.120479, 0.007301, 0.000000
16.800000, -0.119754, 0.007213, 0.000000
16.900000, -0.119037, 0.007126, 0.000000
17.000000, -0.118329, 0.007041, 0.000000
17.100000, -0.117629, 0.006958, 0.000000
17.200000, -0.116937, 0.006876, 0.000000
17.300000, -0.116254, 0.006795, 0.000000
17.400000, -0.115578, 0.006716, 0.000000
17.500000, -0.114910, 0.006638, 0.000000
17.600000, -0.114250, 0.006562, 0.000000
17.700000, -0.113598, 0.006486, 0.000000
17.800000, -0.112953, 0.006413, 0.000000
17.900000, -0.112315, 0.006340, 0.000000
18.000000, -0.111685, 0.006269, 0.000000
18.100000, -0.111062, 0.006199, 0.000000
18.200000, -0.110445, 0.006130, 0.000000
18.300000, -0.109836, 0.006062, 0.000000
18.400000, -0.109233, 0.005995, 0.000000
18.500000, -0.108637, 0.005930, 0.000000
18.600000, -0.108047, 0.005865, 0.000000
18.700000, -0.107464, 0.005802, 0.000000
18.800000, -0.106886, 0.005739, 0.000000
18.900000, -0.106316, 0.005678, 0.000000
19.000000, -0.105751, 0.005617, 0.000000
19.100000, -0.105192, 0.005558, 0.000000
19.200000, -0.104639, 0.005499, 0.000000
19.300000, -0.104092, 0.005442, 0.000000
19.400000, -0.103551, 0.005385, 0.000000
19.500000, -0.103015, 0.005329, 0.000000
19.600000, -0.102485, 0.005274, 0.000000
19.700000, -0.101960, 0.005220, 0.000000
19.800000, -0.101441, 0.005167, 0.000000
19.900000, -0.100927, 0.005114, 0.000000
20.000000, -0.100418, 0.005063, 0.000000
